DATE,WEMMERSHOEK  No.1 Dam,,STEENBRAS No.1,,VOËLVLEI,,THEEWATERS-KLOOF,,WOODHEAD,,DE VILLIERS HOUSE,,NEWLANDS,,WYNBERG,,CONSTANTIA NEK,,PLATTEKLOOF,,BLACKHEATH Upper (WTP),,BLACKHEATH Lower,,GLEN  GARRY,,TYGERBERG,,FAURE,,BROOKLANDS,,ATLANTIS (WESFLEUR),,MOLTENO,,KLOOF NEK,,BERGRIVIER,,NEWLANDS,,STEENBRAS,,WEMMERSHOEK,,BROOKLANDS,,WOODHEAD,,MOLTENO,,STEENBRAS No.2,,STEENBRAS No.3,,STEENBRAS CATCHMENT No.4,,WEMMERS No.2 South,,WEMMERS No.3 North,,WEMMERS No.4 New South,,WEMMERS No.5 New North,,HOUSE,TUNNEL,MILLS,WAAI-VLEI,SPRING-BOK,KITCHEN,WAAI- KOPJE,C/NEK DISA,Day,Month,Year,WEMMERS-HOEK  No.1 Dam,STEEN-BRAS No.1,VOËLVLEI,THEE-WATERS-KLOOF,WOOD-HEAD,DE VILLIERS,NEW-LANDS,WYN-BERG,CON-STANTIA,PLATTE-KLOOF,BLACK-HEATH Upper,BLACK-HEATH Lower,GLEN  GARRY,TYGER-BERG,FAURE,BROOK-LANDS,ATLANTIS,MOLTENO,KLOOF NEK,BERG-RIVIER
05-Mar-00,,,0.3,,,,,,,,,,,,,,2,,,,,,,,0,,,,,,,,,,1,,,,,,,,3.8,,,,7,,5,,,,,,,,,,,,8,,,,,,,,,,,,,,5,3,2000,,,,,,,,,,,,,,,,,,,,
06-Mar-00,,,0.3,,,,,,10,,,,,,1.3,,,,,,1.2,,,,0,,,,,,7,,,,0.4,,,,,,,,8.3,,,,2,,6,,,,,,,,,,,,9.5,,,,,,,,,,,,,,6,3,2000,,,,,,,,,,,,,,,,,,,,
07-Mar-00,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,7,,,,8,,0,,,,,,,,,,,,6.5,,,,,,,,,,,,,,7,3,2000,,,,,,,,,,,,,,,,,,,,
08-Mar-00,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,6,,,,7,,4,,,,,,,,,,,,6.5,,,,,,,,,,,,,,8,3,2000,,,,,,,,,,,,,,,,,,,,
09-Mar-00,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,5,,,,9,,5,,,,,,,,,,,,6.5,,,,,,,,,,,,,,9,3,2000,,,,,,,,,,,,,,,,,,,,
10-Mar-00,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,5,,,,2,,5,,,,,,,,,,,,6,,,,,,,,,,,,,,10,3,2000,,,,,,,,,,,,,,,,,,,,
11-Mar-00,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,5,,,,5,,6,,,,,,,,,,,,6.5,,,,,,,,,,,,,,11,3,2000,,,,,,,,,,,,,,,,,,,,
12-Mar-00,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,5,,,,5,,4,,,,,,,,,,,,6,,,,,,,,,,,,,,12,3,2000,,,,,,,,,,,,,,,,,,,,
13-Mar-00,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,5,,,,0,,5,,,,,,,,2931185,,,,5,,,,,,,,,,,,,,13,3,2000,,,,,,,,,,,,,,,,,,,,
14-Mar-00,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3,,,,6,,3,,,,,,,,,,,,4.5,,,,,,,,,,,,,,14,3,2000,,,,,,,,,,,,,,,,,,,,
